aX,aY,aZ,gX,gY,gZ
2.817,0.533,-0.122,125.977,-19.287,-356.873
3.112,0.924,0.224,141.479,38.757,-314.270
3.279,1.055,0.440,124.878,89.111,-255.493
3.347,1.146,0.562,95.520,114.197,-197.388
3.176,1.299,0.624,58.655,106.201,-143.250
2.881,1.412,0.615,18.860,78.918,-91.431
2.520,1.421,0.464,-12.390,44.800,-39.917
2.124,1.329,0.279,-26.001,7.385,7.324
1.695,1.219,0.155,-19.714,-24.353,45.410
1.266,1.108,0.158,-2.258,-42.725,70.129
0.866,0.962,0.231,13.245,-50.049,82.214
0.520,0.807,0.327,20.325,-49.316,87.708
0.236,0.679,0.412,21.545,-41.931,88.684
0.020,0.587,0.462,18.738,-30.029,85.815
-0.115,0.521,0.519,14.343,-16.968,79.712
-0.152,0.499,0.612,10.498,-5.981,71.289
-0.084,0.500,0.714,6.836,1.709,61.340
0.026,0.521,0.812,2.319,6.165,52.551
0.118,0.574,0.866,-4.089,5.432,47.729
0.166,0.635,0.875,-11.230,1.404,48.096
0.162,0.683,0.839,-18.799,-2.808,54.199
0.113,0.711,0.781,-25.208,-5.615,63.721
0.073,0.715,0.722,-29.480,-6.287,71.594
0.059,0.736,0.674,-31.921,-5.066,76.233
0.041,0.750,0.647,-32.104,-2.258,78.613
0.032,0.763,0.636,-31.372,2.625,80.200
0.055,0.786,0.640,-29.419,7.690,82.031
0.053,0.819,0.679,-25.085,10.559,86.304
0.017,0.834,0.743,-20.142,9.583,93.750
-0.025,0.810,0.800,-19.165,6.165,102.905
-0.079,0.810,0.813,-23.376,2.319,111.023
-0.159,0.811,0.804,-30.640,0.366,117.432
-0.244,0.784,0.765,-41.809,2.258,123.108
-0.333,0.746,0.679,-57.434,7.690,129.883
-0.423,0.690,0.569,-73.364,15.198,135.742
-0.524,0.602,0.479,-85.754,24.353,138.977
-0.597,0.526,0.407,-92.834,34.851,138.062
-0.599,0.496,0.369,-93.994,45.105,131.775
-0.588,0.499,0.356,-89.172,51.392,122.986
-0.550,0.525,0.361,-81.421,55.481,115.845
-0.528,0.553,0.371,-73.975,57.434,112.366
-0.570,0.544,0.377,-67.749,55.542,113.525
-0.650,0.498,0.417,-61.035,50.903,119.995
-0.735,0.435,0.458,-55.115,44.800,127.014
-0.796,0.354,0.482,-54.321,40.222,130.066
-0.856,0.288,0.461,-56.763,39.917,128.113
-0.851,0.265,0.445,-61.279,42.053,123.962
-0.836,0.260,0.401,-66.406,45.471,117.371
-0.805,0.271,0.355,-70.557,50.598,109.924
-0.779,0.289,0.302,-71.960,55.237,104.736
-0.771,0.332,0.259,-72.021,58.167,102.173
-0.775,0.339,0.231,-68.298,58.350,102.539
-0.796,0.303,0.263,-57.495,55.725,105.225
-0.876,0.255,0.346,-44.006,51.819,107.788
-0.943,0.223,0.429,-33.020,49.622,108.826
-0.983,0.183,0.495,-27.771,48.706,106.934
-0.995,0.143,0.530,-28.259,48.035,102.600
-1.014,0.129,0.555,-31.250,49.500,97.107
-1.045,0.132,0.595,-32.715,53.162,92.224
-1.120,0.104,0.638,-33.875,56.152,86.792
-1.194,0.086,0.690,-34.180,56.335,81.604
-1.263,0.038,0.764,-32.227,54.199,75.500
-1.301,0.009,0.823,-30.090,51.025,66.956
-1.283,0.029,0.839,-30.212,47.180,56.396
-1.230,0.079,0.834,-31.006,42.480,43.945
-1.157,0.125,0.802,-32.776,36.377,32.837
-1.084,0.167,0.756,-35.034,28.625,25.818
-1.037,0.190,0.714,-36.438,20.142,22.278
-1.020,0.206,0.676,-35.889,12.146,21.545
-1.010,0.205,0.648,-32.959,4.761,21.973
-0.996,0.203,0.638,-27.527,-1.038,21.790
-0.981,0.205,0.631,-22.156,-4.517,19.714
-0.952,0.217,0.614,-18.127,-6.042,16.174
-0.915,0.254,0.586,-15.381,-6.042,12.817
-0.031,0.779,2.083,151.733,79.651,-89.478
0.005,0.848,2.235,136.536,61.951,-80.627
-0.037,0.959,2.292,119.263,46.448,-71.167
-0.112,1.095,2.294,103.149,36.926,-63.416
-0.222,1.169,2.316,89.661,32.837,-58.350
-0.363,1.253,2.290,72.693,32.715,-52.856
-0.429,1.325,2.215,50.232,32.532,-49.866
-0.443,1.365,2.113,27.161,30.823,-49.194
-0.438,1.331,2.024,7.690,28.198,-47.546
-0.429,1.282,1.922,-7.690,25.696,-42.786
-0.435,1.241,1.809,-19.531,23.132,-35.156
-0.451,1.176,1.690,-29.114,19.348,-27.222
-0.473,1.104,1.565,-36.743,14.404,-20.508
-0.501,1.020,1.458,-42.297,10.010,-14.099
-0.552,0.943,1.365,-46.448,7.996,-6.775
-0.624,0.879,1.281,-49.194,7.385,0.000
-0.644,0.722,1.253,-51.147,4.761,4.028
-0.643,0.592,1.218,-51.636,0.610,8.484
-0.671,0.525,1.178,-49.438,-2.380,17.151
-0.710,0.440,1.153,-45.471,-5.493,26.245
-0.751,0.336,1.134,-42.053,-11.353,33.386
-0.839,0.243,1.127,-37.720,-18.433,39.917
-0.987,0.143,1.158,-29.602,-23.987,46.509
-1.166,0.040,1.213,-19.470,-29.053,51.331
-1.387,-0.034,1.303,-10.925,-33.569,52.551
-1.634,-0.114,1.442,-4.272,-36.011,50.415
-1.868,-0.198,1.621,0.549,-36.560,45.410
-2.081,-0.267,1.781,-0.732,-36.499,35.583
-2.262,-0.316,1.913,-9.521,-33.630,19.348
-2.419,-0.362,2.019,-22.827,-26.489,-2.563
-2.523,-0.381,2.087,-39.185,-17.212,-28.076
-2.546,-0.349,2.071,-57.495,-11.414,-56.274
-2.370,-0.265,2.103,-69.885,-13.550,-84.839
-2.202,-0.170,2.097,-69.641,-35.583,-108.154
-1.948,-0.114,2.070,-59.692,-78.796,-122.559
-1.679,-0.072,1.974,-46.631,-131.775,-129.456
-1.544,-0.061,1.819,-40.161,-184.387,-131.775
-1.473,-0.112,1.656,-39.429,-223.022,-133.301
-1.424,-0.208,1.442,-41.565,-245.117,-138.550
-1.342,-0.245,1.189,-50.964,-254.333,-150.269
-1.228,-0.279,0.948,-64.331,-251.770,-166.626
-1.040,-0.332,0.723,-74.463,-237.671,-184.753
-0.807,-0.386,0.480,-81.360,-216.614,-204.895
-0.521,-0.455,0.267,-86.548,-189.819,-226.196
-0.183,-0.478,0.088,-86.121,-161.194,-246.399
0.205,-0.478,-0.080,-75.684,-138.123,-263.367
0.697,-0.436,-0.187,-59.082,-118.225,-273.987
1.347,-0.302,-0.160,-37.903,-97.046,-277.527
