aX,aY,aZ,gX,gY,gZ
0.354,-0.029,-0.132,59.570,-195.923,89.478
0.308,0.012,-0.083,58.533,-198.914,90.515
0.267,0.077,-0.059,54.565,-207.581,87.463
0.223,0.138,-0.026,52.551,-219.360,83.984
0.187,0.178,0.058,54.688,-231.995,80.872
0.115,0.191,0.162,59.204,-242.187,79.285
-0.005,0.241,0.239,65.613,-245.422,80.688
-0.124,0.306,0.406,75.195,-243.652,82.947
-0.247,0.388,0.650,87.646,-242.249,86.304
-0.369,0.446,0.913,101.563,-240.540,91.125
-0.464,0.456,1.134,114.685,-229.919,97.473
-0.474,0.406,1.279,125.061,-206.482,101.440
-0.369,0.315,1.291,128.113,-177.368,100.647
-0.208,0.221,1.188,120.300,-151.978,97.534
-0.079,0.169,1.040,103.516,-138.794,91.614
-0.082,0.215,0.834,82.397,-141.113,81.604
-0.076,0.277,0.722,62.378,-161.804,62.744
-0.061,0.330,0.727,44.434,-199.097,39.124
-0.124,0.404,0.751,35.156,-235.474,24.109
-0.282,0.543,0.770,46.021,-253.723,26.733
-0.501,0.622,0.889,83.984,-251.648,45.349
-0.645,0.568,1.084,142.944,-230.042,71.045
-0.648,0.411,1.333,201.660,-191.711,95.581
-0.540,0.221,1.533,237.366,-144.897,113.953
-0.486,0.089,1.641,243.408,-105.164,119.385
-0.509,0.051,1.618,221.985,-81.299,109.802
-0.504,0.027,1.686,179.016,-83.984,81.787
-0.515,0.014,1.797,120.361,-111.938,42.419
-0.556,0.084,1.891,57.251,-147.644,5.859
-0.661,0.212,1.948,8.911,-169.250,-16.724
-0.762,0.378,1.965,-9.705,-163.330,-20.813
-0.765,0.442,1.923,5.310,-129.089,-10.315
-0.632,0.382,1.827,45.471,-75.745,10.010
-0.440,0.263,1.728,88.257,-23.010,35.889
-0.285,0.111,1.636,114.319,12.024,56.335
-0.205,0.028,1.540,114.075,26.062,61.157
-0.130,0.019,1.451,88.806,20.447,48.279
-0.053,0.040,1.373,48.035,0.977,25.513
-0.029,0.106,1.303,8.972,-19.592,3.845
-0.042,0.206,1.247,-15.320,-31.677,-8.972
-0.062,0.277,1.208,-23.193,-31.982,-10.620
-0.075,0.299,1.175,-17.090,-23.376,-5.432
-0.067,0.290,1.157,-5.859,-10.437,1.953
-0.049,0.258,1.158,2.441,0.916,8.423
-0.705,0.390,1.935,-38.574,20.630,-17.456
-0.823,0.372,2.145,-24.719,43.335,-12.085
-0.880,0.286,2.329,-11.658,74.280,-5.432
-0.857,0.213,2.362,-11.780,108.582,-2.808
-0.781,0.171,2.295,-23.682,139.709,-5.310
-0.720,0.139,2.212,-38.696,159.546,-10.864
-0.688,0.189,2.121,-51.025,168.884,-15.442
-0.693,0.282,2.093,-52.979,172.424,-16.479
-0.704,0.277,2.122,-41.138,178.162,-14.771
-0.716,0.270,2.116,-27.100,194.946,-10.620
-0.789,0.228,2.217,-15.930,212.280,-5.981
-0.848,0.090,2.328,-12.146,226.074,-3.967
-0.835,-0.053,2.306,-27.527,250.916,-6.287
-0.776,-0.152,2.100,-64.636,283.142,-14.221
-0.668,-0.204,1.786,-114.807,307.251,-26.794
-0.555,-0.170,1.371,-167.480,320.740,-42.908
-0.492,-0.017,0.962,-209.900,323.486,-59.509
-0.448,0.103,0.611,-226.196,319.763,-70.862
-0.390,0.237,0.323,-216.736,319.153,-76.355
-0.362,0.384,0.210,-183.838,321.777,-73.730
-0.422,0.389,0.263,-132.202,323.425,-62.378
-0.490,0.293,0.338,-83.618,334.717,-48.462
-0.532,0.072,0.479,-54.016,356.079,-37.231
-0.557,-0.195,0.556,-56.152,373.108,-33.081
-0.515,-0.424,0.460,-97.290,383.362,-40.100
-0.458,-0.477,0.221,-165.405,380.432,-57.434
-0.408,-0.402,-0.093,-229.858,368.225,-76.599
-0.332,-0.192,-0.495,-265.503,355.286,-90.210
-0.252,0.073,-0.789,-261.292,343.384,-96.985
-0.299,0.200,-0.922,-216.431,332.520,-95.093
-0.307,0.145,-0.983,-154.175,333.191,-88.623
-0.144,-0.057,-1.059,-100.647,344.727,-83.374
0.070,-0.313,-1.179,-70.007,347.168,-79.224
0.214,-0.562,-1.375,-66.223,334.534,-77.148
0.274,-0.816,-1.680,-84.290,314.392,-76.965
0.374,-1.039,-2.157,-114.868,296.692,-75.378
0.613,-1.192,-2.762,-143.005,279.968,-67.749
0.982,-1.186,-3.370,-148.560,258.057,-49.500
1.388,-0.991,-3.722,-117.004,228.577,-18.921
1.600,-0.721,-3.550,-55.359,173.401,15.137
1.418,-0.470,-2.877,3.418,86.426,36.682
1.043,-0.207,-2.071,36.011,1.831,42.236
0.738,0.094,-1.249,47.363,-53.406,42.725
0.590,0.356,-0.611,48.096,-75.867,44.495
0.544,0.547,-0.197,44.434,-78.857,45.593
0.529,0.667,0.063,33.447,-77.576,42.175
0.508,0.743,0.173,15.686,-75.012,34.058
0.539,0.768,0.127,-2.197,-68.909,22.461
0.640,0.774,-0.013,-13.000,-59.631,11.475
0.738,0.733,-0.184,-14.099,-52.246,2.808
0.812,0.639,-0.365,-5.981,-49.805,-3.540
0.867,0.535,-0.513,6.470,-50.781,-7.751
0.895,0.438,-0.660,20.813,-53.772,-10.376
0.896,0.331,-0.771,35.522,-59.570,-12.146
0.888,0.219,-0.849,47.729,-66.040,-12.268
0.903,0.123,-0.912,54.016,-72.083,-11.292
0.921,0.022,-0.937,55.298,-79.102,-8.972
0.932,-0.053,-0.956,50.049,-88.684,-6.470
0.935,-0.092,-0.969,40.039,-99.487,-3.357
0.936,-0.098,-0.976,29.480,-111.206,1.160
0.937,-0.091,-0.986,21.973,-123.413,6.287
0.899,-0.053,-0.969,18.372,-136.230,11.963
0.850,-0.012,-0.949,19.958,-148.560,18.616
0.799,0.031,-0.922,27.039,-157.776,26.123
0.761,0.066,-0.901,37.964,-165.100,33.142
0.730,0.092,-0.863,49.866,-173.279,39.185
0.702,0.105,-0.824,61.401,-182.495,42.847
0.661,0.078,-0.734,72.815,-192.078,45.532
0.591,0.027,-0.626,81.116,-200.806,48.889
0.541,-0.025,-0.503,83.618,-206.055,52.979
0.495,-0.061,-0.401,80.505,-209.106,56.580
0.447,-0.082,-0.321,72.205,-211.670,59.326
0.403,-0.066,-0.261,61.890,-213.623,61.829
0.364,-0.002,-0.242,53.467,-214.111,65.552
0.332,0.075,-0.242,52.429,-211.731,71.411
0.314,0.158,-0.243,60.181,-211.670,77.332
0.284,0.226,-0.241,72.998,-218.262,80.078
0.234,0.252,-0.167,88.806,-232.971,78.430
0.148,0.206,-0.005,104.858,-251.404,74.402
0.033,0.139,0.165,116.516,-262.512,72.327
-0.040,0.090,0.333,120.300,-262.390,73.181
-0.088,0.059,0.499,115.112,-256.470,73.975
-0.125,0.120,0.638,103.149,-249.878,73.914
-0.209,0.188,0.790,91.858,-245.544,74.707
-0.307,0.274,0.900,84.961,-240.356,75.684
-0.325,0.318,0.979,80.688,-233.521,72.937
-0.286,0.361,0.979,75.073,-227.173,67.444
-0.254,0.470,0.913,70.190,-227.234,60.791
-0.288,0.575,0.916,75.745,-237.488,54.321
-0.402,0.604,0.995,98.328,-247.070,52.429
-0.489,0.552,1.218,132.690,-243.896,54.932
-0.535,0.406,1.518,165.955,-226.624,60.059
-0.547,0.261,1.789,185.181,-198.120,66.101
-0.520,0.141,1.944,182.068,-161.804,69.824
-0.443,0.047,1.971,156.494,-127.319,65.430
-0.342,0.024,1.849,111.023,-103.638,51.880
-0.180,0.037,1.689,52.002,-98.511,29.297
-0.044,0.144,1.483,-10.193,-110.352,3.845
