aX,aY,aZ,gX,gY,gZ
0.149,0.811,0.275,23.987,-31.982,30.273
-0.056,0.669,0.320,22.949,-32.043,38.147
-0.236,0.544,0.365,17.395,-24.170,42.542
-0.375,0.444,0.385,8.362,-13.916,42.480
-0.472,0.360,0.386,-1.404,-4.761,39.673
-0.535,0.295,0.373,-9.705,3.174,35.706
-0.582,0.259,0.349,-15.808,9.277,31.067
-0.632,0.233,0.334,-18.311,12.146,27.100
-0.661,0.227,0.330,-16.418,11.902,24.170
-0.670,0.239,0.343,-11.536,8.362,21.667
-0.690,0.253,0.360,-5.920,2.869,19.836
-0.711,0.268,0.387,-0.671,-0.549,18.494
-0.731,0.288,0.425,4.272,0.183,17.151
-0.741,0.317,0.457,6.531,3.479,14.954
-0.736,0.339,0.486,6.348,8.240,12.878
-0.726,0.362,0.520,5.371,14.099,10.803
-0.709,0.384,0.564,4.700,19.775,9.033
-0.673,0.413,0.631,5.066,23.743,7.324
-0.661,0.444,0.721,6.836,24.902,6.897
-0.658,0.468,0.809,7.812,23.254,7.446
-0.645,0.487,0.872,6.409,18.677,7.202
-0.638,0.513,0.892,2.075,12.329,6.836
-0.642,0.535,0.877,-4.028,7.141,6.042
-0.647,0.548,0.831,-11.658,4.822,5.249
-0.650,0.557,0.766,-19.592,5.310,4.761
-0.649,0.561,0.708,-25.452,7.080,4.272
-0.642,0.566,0.661,-28.320,9.094,3.784
-0.631,0.573,0.629,-28.076,11.108,4.150
-0.610,0.576,0.614,-25.513,12.207,5.127
-0.580,0.583,0.617,-20.630,11.475,5.920
-0.564,0.597,0.633,-14.404,9.155,6.409
-0.556,0.607,0.655,-9.216,6.409,7.751
-0.565,0.605,0.678,-5.981,3.479,9.583
-0.587,0.594,0.692,-4.456,1.343,11.047
-0.616,0.587,0.685,-5.554,0.488,12.329
-0.645,0.570,0.664,-8.850,0.854,13.306
-0.676,0.545,0.634,-12.756,2.380,14.465
-0.701,0.523,0.603,-16.235,4.700,14.954
