aX,aY,aZ,gX,gY,gZ
0.599,0.039,-0.987,-49.622,-18.799,-43.152
0.660,-0.007,-0.995,-72.998,-24.902,-54.321
0.736,-0.021,-1.001,-90.637,-31.006,-66.772
0.835,-0.050,-0.992,-103.149,-31.799,-77.820
0.953,-0.062,-0.976,-107.422,-28.931,-87.891
1.014,-0.079,-0.970,-103.821,-17.639,-96.802
1.085,-0.103,-0.925,-90.881,-4.639,-109.680
1.157,-0.093,-0.869,-73.669,7.996,-126.648
1.226,-0.103,-0.826,-61.462,19.165,-144.836
1.295,-0.066,-0.848,-60.242,27.405,-161.438
1.378,-0.017,-0.849,-67.749,29.907,-174.683
1.424,0.009,-0.859,-85.327,26.794,-185.791
1.473,0.021,-0.865,-115.234,18.066,-195.496
1.481,0.003,-0.915,-153.076,1.648,-206.116
1.412,-0.016,-0.987,-192.017,-15.442,-218.506
1.293,-0.034,-1.072,-226.685,-30.762,-230.164
1.168,-0.049,-1.132,-253.540,-38.513,-240.417
1.013,-0.050,-1.171,-270.935,-42.114,-247.498
0.838,-0.056,-1.161,-280.090,-45.166,-248.901
0.721,-0.142,-1.101,-280.151,-45.288,-246.460
0.619,-0.248,-1.005,-274.048,-42.419,-244.141
0.549,-0.338,-0.926,-265.869,-41.626,-245.239
0.498,-0.449,-0.860,-259.827,-43.579,-250.977
0.407,-0.590,-0.858,-259.216,-45.532,-258.850
0.278,-0.650,-0.882,-265.442,-49.683,-265.015
0.214,-0.653,-0.901,-273.682,-53.955,-266.602
0.187,-0.700,-0.882,-277.954,-52.368,-264.465
0.141,-0.747,-0.825,-276.367,-49.194,-259.521
0.049,-0.728,-0.751,-270.935,-46.570,-251.526
0.005,-0.724,-0.633,-258.057,-43.030,-240.845
-0.036,-0.737,-0.511,-233.704,-38.025,-227.783
-0.119,-0.706,-0.416,-204.590,-35.095,-218.140
-0.159,-0.719,-0.348,-177.063,-34.912,-215.820
-0.137,-0.739,-0.339,-152.344,-33.203,-219.360
-0.158,-0.687,-0.369,-133.972,-28.687,-230.042
-0.249,-0.536,-0.404,-124.817,-23.315,-246.704
-0.380,-0.375,-0.436,-122.314,-13.794,-256.653
-0.538,-0.241,-0.465,-120.483,-2.197,-249.207
-0.666,-0.199,-0.468,-113.647,8.057,-226.196
-0.752,-0.198,-0.430,-103.455,17.822,-198.608
-0.774,-0.241,-0.358,-94.238,25.574,-174.500
-0.746,-0.331,-0.265,-86.426,29.907,-153.198
-0.763,-0.443,-0.200,-80.444,31.372,-134.460
-0.786,-0.531,-0.156,-77.454,30.273,-124.451
-0.805,-0.580,-0.108,-76.050,29.724,-119.446
-0.824,-0.600,-0.089,-75.073,30.212,-114.868
-0.891,-0.589,-0.103,-76.294,28.381,-109.497
-0.914,-0.591,-0.095,-77.637,25.146,-102.295
-0.911,-0.571,-0.085,-77.881,24.536,-91.125
-0.911,-0.565,-0.065,-77.332,22.827,-80.505
-0.923,-0.537,-0.053,-75.012,17.822,-74.280
-0.933,-0.516,-0.033,-70.801,11.230,-70.374
-0.915,-0.514,-0.020,-62.134,5.127,-66.528
-0.884,-0.522,-0.030,-50.171,-1.099,-62.073
-0.865,-0.540,-0.044,-36.194,-7.385,-57.129
-0.845,-0.607,-0.081,-22.034,-12.207,-50.415
-0.848,-0.665,-0.123,-9.216,-13.977,-41.992
-0.847,-0.731,-0.160,2.808,-14.587,-34.546
-0.849,-0.808,-0.173,13.184,-12.634,-28.198
-0.840,-0.869,-0.171,18.555,-9.155,-23.376
-0.806,-0.925,-0.152,19.409,-6.470,-20.569
-0.765,-0.943,-0.144,14.587,-6.165,-19.897
-0.742,-0.930,-0.164,5.859,-8.484,-21.240
-0.723,-0.898,-0.197,-4.517,-11.047,-24.475
-0.726,-0.861,-0.207,-14.404,-10.315,-26.794
-0.725,-0.819,-0.197,-23.560,-7.019,-27.344
-0.726,-0.796,-0.167,-29.602,-3.784,-26.245
-0.730,-0.785,-0.139,-32.593,-2.258,-23.132
-0.715,-0.783,-0.115,-31.982,-2.747,-20.325
-0.709,-0.797,-0.095,-28.320,-5.432,-19.531
-0.691,-0.813,-0.073,-23.621,-8.850,-20.569
-0.682,-0.812,-0.064,-20.630,-11.536,-20.752
-0.677,-0.813,-0.056,-16.968,-13.184,-21.057
-0.683,-0.800,-0.057,-13.367,-13.306,-22.278
-0.690,-0.775,-0.076,-9.949,-11.780,-22.339
-0.707,-0.761,-0.093,-5.432,-7.996,-20.996
-0.707,-0.759,-0.090,-0.488,-3.296,-19.897
-0.692,-0.756,-0.077,2.686,1.221,-19.104
-0.680,-0.747,-0.046,4.578,4.028,-18.372
-0.663,-0.741,-0.022,4.944,4.028,-18.005
-0.650,-0.734,-0.007,3.967,1.404,-16.907
-0.630,-0.760,0.002,1.953,-2.197,-15.015
-0.616,-0.792,0.019,-1.648,-4.578,-12.878
-0.604,-0.816,0.035,-7.385,-6.348,-11.597
-0.594,-0.829,0.036,-14.099,-7.507,-10.437
-0.613,-0.820,0.028,-19.836,-8.057,-10.559
-0.622,-0.792,0.017,-23.071,-7.019,-12.268
-0.649,-0.768,0.001,-22.705,-4.883,-12.695
-0.662,-0.742,-0.002,-18.738,-1.526,-12.207
1.099,0.169,-1.293,65.369,-85.327,129.272
1.072,0.199,-1.387,82.703,-60.059,109.497
1.202,0.212,-1.315,102.112,-24.292,88.745
1.364,0.136,-1.146,103.271,8.545,82.886
1.411,0.040,-0.934,78.979,21.484,87.830
1.638,-0.018,-0.720,34.180,14.648,91.736
1.323,-0.144,-0.522,-14.526,-11.475,96.008
0.954,-0.271,-0.511,-53.406,-43.274,83.496
1.002,-0.323,-0.471,-79.712,-43.030,68.787
1.007,-0.332,-0.413,-84.229,-31.860,65.613
0.903,-0.363,-0.427,-60.608,-23.987,63.293
0.880,-0.357,-0.535,-14.893,-14.648,55.359
0.837,-0.296,-0.678,36.133,-5.371,45.349
0.762,-0.233,-0.817,72.632,1.221,35.706
0.708,-0.164,-0.918,84.412,6.714,25.818
0.661,-0.078,-0.977,75.317,11.536,14.709
0.595,0.007,-0.984,50.964,12.207,2.319
0.527,0.074,-0.949,19.165,11.353,-8.057
0.483,0.147,-0.893,-7.080,9.094,-17.761
0.431,0.231,-0.860,-23.804,5.127,-26.917
0.376,0.359,-0.835,-29.114,2.502,-29.114
0.266,0.441,-0.824,-22.827,2.380,-22.217
0.179,0.425,-0.807,-8.301,5.249,-14.587
0.232,0.372,-0.743,6.165,10.254,-11.230
